Distance_(µm),Gray_Value
0.000,254.000
0.839,254.000
1.678,254.000
2.517,254.000
3.356,254.000
4.195,253.992
5.034,253.729
5.874,254.068
6.713,253.890
7.552,253.881
8.391,253.839
9.230,252.085
10.069,251.271
10.908,251.483
11.747,252.246
12.586,252.966
13.425,253.364
14.264,253.576
15.103,253.864
15.942,253.983
16.782,253.907
17.621,253.186
18.460,249.695
19.299,228.619
20.138,188.085
20.977,146.873
21.816,115.627
22.655,90.169
23.494,72.195
24.333,53.695
25.172,50.390
26.011,54.873
26.851,71.339
27.690,91.831
28.529,108.958
29.368,122.331
30.207,130.864
31.046,149.873
31.885,173.271
32.724,192.254
33.563,208.788
34.402,233.398
35.241,250.669
36.080,253.593
36.919,253.737
37.759,254.000
38.598,254.000
39.437,254.000
40.276,254.000
41.115,254.000
41.954,254.000
42.793,254.000
43.632,254.000
44.471,254.000
45.310,254.000
46.149,254.000
46.988,254.000
47.827,254.000
48.667,254.000
49.506,254.000
50.345,254.000
51.184,254.000
52.023,254.000
52.862,254.000
53.701,254.000
54.540,254.000
55.379,254.000
56.218,254.000
57.057,254.000
57.896,254.000
58.736,254.000
59.575,254.000
60.414,254.000
61.253,254.000
62.092,254.000
62.931,254.000
63.770,254.000
64.609,254.000
65.448,254.000
66.287,254.000
67.126,254.000
67.965,254.000
68.804,254.000
69.644,254.000
70.483,254.000
71.322,253.831
72.161,254.051
73.000,253.941
73.839,253.703
74.678,254.042
75.517,253.975
76.356,252.000
77.195,249.254
78.034,223.992
78.873,183.034
79.712,138.314
80.552,105.288
81.391,83.305
82.230,65.661
83.069,51.602
83.908,48.602
84.747,59.229
85.586,74.949
86.425,93.619
87.264,115.856
88.103,135.042
88.942,141.992
89.781,156.051
90.621,180.602
91.460,203.153
92.299,217.559
93.138,236.797
93.977,250.119
94.816,254.169
95.655,253.585
96.494,253.381
97.333,253.780
98.172,254.000
99.011,254.000
99.850,254.000
100.689,254.000
101.529,254.000
102.368,254.000
103.207,254.000
104.046,254.000
104.885,254.000
105.724,254.000
106.563,254.000
107.402,254.000
108.241,254.000
109.080,254.000
109.919,254.000
110.758,254.000
111.597,254.000
112.437,254.000
113.276,254.000
114.115,254.000
114.954,254.000
115.793,254.000
116.632,254.000
117.471,254.000
118.310,254.000
119.149,254.000
119.988,254.000
120.827,254.000
121.666,254.000
122.506,254.000
123.345,254.000
124.184,254.000
125.023,254.000
125.862,254.000
126.701,254.000
127.540,254.000
128.379,254.000
129.218,254.000
130.057,254.000
130.896,254.000
131.735,253.619
132.574,253.763
133.414,253.449
134.253,253.941
135.092,252.864
135.931,250.034
136.770,223.627
137.609,171.941
138.448,127.873
139.287,93.619
140.126,69.568
140.965,59.042
141.804,44.839
142.643,42.407
143.482,61.203
144.322,79.653
145.161,99.508
146.000,123.449
146.839,146.746
147.678,157.466
148.517,168.839
149.356,191.508
150.195,216.958
151.034,232.068
151.873,246.373
152.712,251.924
153.551,254.831
154.390,254.203
155.230,253.153
156.069,254.229
156.908,254.466
157.747,253.720
158.586,254.000
159.425,254.000
160.264,254.000
161.103,254.000
161.942,254.000
162.781,254.000
163.620,254.000
164.459,254.000
165.299,254.000
166.138,254.000
166.977,254.000
167.816,254.000
168.655,254.000
169.494,254.000
170.333,254.000
171.172,254.000
172.011,254.000
172.850,254.000
173.689,254.000
174.528,254.000
175.367,254.000
176.207,254.000
177.046,254.000
177.885,254.000
178.724,254.000
179.563,254.000
180.402,254.000
181.241,254.000
182.080,254.000
182.919,254.000
183.758,254.000
184.597,254.000
185.436,254.000
186.275,254.000
187.115,254.000
187.954,254.000
188.793,254.000
189.632,254.000
190.471,254.000
191.310,254.000
192.149,254.008
192.988,252.136
193.827,253.407
194.666,244.932
195.505,202.339
196.344,147.712
197.184,106.432
198.023,80.924
198.862,63.390
199.701,51.576
200.540,40.102
201.379,44.136
202.218,64.627
203.057,90.110
203.896,113.534
204.735,129.686
205.574,155.398
206.413,173.000
207.252,187.686
208.092,204.161
208.931,228.441
209.770,244.263
210.609,249.568
211.448,254.017
212.287,254.000
213.126,254.000
213.965,254.000
214.804,254.000
215.643,254.000
216.482,254.000
217.321,254.000
218.160,254.000
219.000,254.000
219.839,254.000
220.678,254.000
221.517,254.000
222.356,254.000
223.195,254.000
224.034,254.000
224.873,254.000
225.712,254.000
226.551,254.000
227.390,254.000
228.229,254.000
229.069,254.000
229.908,254.000
230.747,254.000
