Distance_(µm),Gray_Value
0.0000,253.900
0.8330,210.156
1.6660,128.656
2.4990,70.533
3.3320,49.278
4.1651,36.256
4.9981,25.433
5.8311,31.267
6.6641,38.989
7.4971,38.300
8.3301,41.344
9.1631,66.656
9.9961,115.222
10.8292,185.956
11.6622,248.889
12.4952,253.978
13.3282,253.011
14.1612,253.878
14.9942,228.233
15.8272,157.933
16.6602,89.367
17.4933,56.467
18.3263,44.856
19.1593,31.533
19.9923,28.389
20.8253,38.022
21.6583,37.667
22.4913,40.100
23.3243,52.978
24.1573,91.067
24.9904,158.800
25.8234,225.578
26.6564,253.233
27.4894,253.689
28.3224,252.767
29.1554,241.744
29.9884,186.489
30.8214,115.889
31.6545,66.422
32.4875,50.456
33.3205,41.222
34.1535,30.000
34.9865,32.356
35.8195,39.833
36.6525,37.622
37.4855,47.667
38.3186,73.300
39.1516,130.222
39.9846,201.011
40.8176,252.811
41.6506,254.444
42.4836,253.122
43.3166,251.422
44.1496,205.922
44.9827,142.089
45.8157,81.622
46.6487,54.278
47.4817,49.778
48.3147,37.756
49.1477,30.211
49.9807,39.389
50.8137,38.600
51.6467,43.433
52.4798,61.756
53.3128,105.000
54.1458,173.844
54.9788,240.378
55.8118,254.389
56.6448,252.989
57.4778,253.611
58.3108,221.356
59.1439,163.900
59.9769,102.178
60.8099,59.044
61.6429,52.844
62.4759,45.544
63.3089,34.711
64.1419,34.822
64.9749,38.989
65.8080,41.211
66.6410,51.767
67.4740,84.367
68.3070,145.056
69.1400,216.733
69.9730,253.744
70.8060,253.644
71.6390,253.922
72.4720,239.733
73.3051,185.856
74.1381,123.200
74.9711,72.644
75.8041,52.344
76.6371,52.833
77.4701,44.089
78.3031,33.333
79.1361,35.311
79.9692,42.189
80.8022,42.333
81.6352,68.011
82.4682,115.289
83.3012,184.911
84.1342,248.733
84.9672,253.722
85.8002,253.133
86.6332,253.289
87.4663,205.322
88.2993,146.467
89.1323,92.311
89.9653,54.967
90.7983,54.467
91.6313,53.633
92.4643,41.800
93.2973,30.300
94.1304,39.500
94.9634,43.056
95.7964,55.522
96.6294,95.856
97.4624,158.489
98.2954,229.500
99.1284,253.800
99.9614,253.367
100.7945,253.444
