Distance_(µm),Gray_Value
0.000,206.609
0.857,206.379
1.714,206.077
2.571,205.506
3.429,205.186
4.286,205.361
5.143,205.678
6.000,206.036
6.857,205.231
7.714,205.228
8.571,205.541
9.429,206.041
10.286,205.973
11.143,205.175
12.000,204.482
12.857,204.281
13.714,204.604
14.571,204.547
15.428,203.905
16.286,202.571
17.143,201.130
18.000,200.192
18.857,199.929
19.714,200.030
20.571,196.077
21.428,190.604
22.286,178.024
23.143,160.760
24.000,141.692
24.857,119.482
25.714,93.680
26.571,74.210
27.428,55.598
28.286,47.151
29.143,42.056
30.000,46.456
30.857,55.695
31.714,65.447
32.571,76.334
33.428,85.127
34.285,95.911
35.143,105.896
36.000,121.541
36.857,138.435
37.714,155.462
38.571,172.997
39.428,189.311
40.285,199.636
41.143,207.462
42.000,209.861
42.857,212.441
43.714,213.118
44.571,212.470
45.428,212.391
46.285,213.598
47.143,214.970
48.000,216.473
48.857,217.775
49.714,219.462
50.571,220.778
51.428,221.207
52.285,220.642
53.143,219.254
54.000,218.101
54.857,215.731
55.714,213.938
56.571,211.828
57.428,210.414
58.285,209.538
59.142,208.763
60.000,208.249
60.857,208.071
61.714,206.991
62.571,206.888
63.428,206.953
64.285,207.154
65.142,207.352
66.000,207.639
66.857,207.979
67.714,208.302
68.571,208.503
69.428,208.284
70.285,208.186
71.142,208.178
72.000,208.012
72.857,207.370
73.714,206.757
74.571,206.408
75.428,205.642
76.285,205.562
77.142,205.435
78.000,205.314
78.857,205.322
79.714,205.485
80.571,205.849
81.428,206.098
82.285,206.311
83.142,206.367
83.999,206.311
84.857,205.973
85.714,205.639
86.571,205.237
87.428,205.083
88.285,205.056
89.142,205.231
89.999,205.435
90.857,205.701
91.714,206.041
92.571,206.331
93.428,206.506
94.285,206.322
95.142,206.074
95.999,206.021
96.857,205.799
97.714,205.414
98.571,204.964
99.428,204.825
100.285,205.033
101.142,205.314
101.999,205.462
102.856,205.929
103.714,205.908
104.571,205.686
105.428,205.518
106.285,205.538
107.142,205.506
107.999,205.470
108.856,205.284
109.714,205.145
110.571,205.210
111.428,205.370
112.285,205.533
113.142,205.840
113.999,205.893
114.856,205.899
115.714,205.858
116.571,205.902
117.428,205.861
