Distance_(µm),Gray_Value
0.000,251.468
0.857,254.604
1.714,254.039
2.571,253.539
3.428,253.909
4.285,254.000
5.142,254.000
5.999,254.000
6.856,254.000
7.713,254.000
8.569,254.000
9.426,254.000
10.283,254.000
11.140,253.364
11.997,253.903
12.854,246.799
13.711,196.136
14.568,138.604
15.425,103.558
16.282,73.519
17.139,58.494
17.996,47.455
18.853,39.396
19.710,43.195
20.567,63.247
21.424,84.506
22.281,102.325
23.138,124.968
23.994,145.903
24.851,159.591
25.708,169.558
26.565,194.429
27.422,218.896
28.279,230.617
29.136,241.682
29.993,252.571
30.850,253.922
31.707,254.000
32.564,254.000
33.421,254.000
34.278,254.000
35.135,254.000
35.992,254.000
36.849,254.000
37.706,254.000
38.563,253.507
39.420,254.026
40.276,254.039
41.133,252.877
41.990,254.695
42.847,246.812
43.704,196.104
44.561,135.727
45.418,96.727
46.275,74.500
47.132,54.117
47.989,45.338
48.846,39.740
49.703,41.591
50.560,62.792
51.417,88.870
52.274,107.779
53.131,126.364
53.988,148.870
54.845,164.416
55.701,177.156
56.558,195.935
57.415,219.558
58.272,236.623
59.129,243.292
59.986,250.519
60.843,254.792
61.700,254.351
62.557,252.909
63.414,254.175
64.271,254.760
65.128,253.474
65.985,254.000
66.842,254.000
67.699,254.000
68.556,254.000
69.413,254.000
70.270,254.000
71.127,254.000
71.983,254.000
72.840,244.396
73.697,189.039
74.554,127.740
75.411,90.045
76.268,68.058
77.125,52.351
77.982,42.539
78.839,37.870
79.696,40.026
80.553,62.357
81.410,89.955
82.267,110.838
83.124,128.727
83.981,149.961
84.838,171.493
85.695,184.779
86.552,199.461
87.409,223.656
88.265,241.156
89.122,247.214
89.979,252.961
90.836,254.403
91.693,252.916
92.550,253.883
93.407,254.000
94.264,254.000
95.121,254.000
95.978,254.000
96.835,254.000
97.692,254.000
98.549,254.000
99.406,254.000
100.263,254.188
101.120,252.117
101.977,254.292
102.834,238.688
103.690,182.019
104.547,120.779
105.404,83.799
106.261,64.110
107.118,49.286
107.975,42.032
108.832,35.357
109.689,40.695
110.546,63.403
111.403,94.864
112.260,120.253
113.117,132.461
113.974,156.234
114.831,179.974
115.688,194.740
116.545,206.162
117.402,229.416
118.259,246.558
119.116,250.766
119.972,253.493
120.829,254.000
121.686,254.000
122.543,254.000
123.400,254.000
124.257,254.000
125.114,254.000
125.971,254.000
126.828,254.000
127.685,253.253
128.542,254.331
129.399,252.812
130.256,254.117
131.113,252.604
131.970,253.461
132.827,235.110
133.684,178.773
134.541,114.636
135.397,77.435
136.254,60.292
137.111,47.188
137.968,39.857
138.825,37.162
139.682,37.987
140.539,63.948
141.396,99.851
142.253,121.610
143.110,138.429
143.967,158.714
144.824,187.552
145.681,203.136
146.538,213.682
147.395,231.260
148.252,251.812
149.109,252.805
149.966,253.773
150.823,254.331
151.679,254.214
152.536,253.968
153.393,253.909
154.250,253.760
155.107,254.000
