Distance_(µm),Gray_Value
0.000,250.582
0.870,250.755
1.739,250.927
2.609,251.191
3.478,251.245
4.348,251.264
5.217,252.400
6.087,252.318
6.956,252.200
7.826,252.109
8.695,252.164
9.565,252.236
10.435,252.345
11.304,252.409
12.174,251.555
13.043,251.282
13.913,250.809
14.782,250.509
15.652,250.336
16.521,250.300
17.391,250.364
18.260,250.345
19.130,246.218
19.999,244.400
20.869,240.382
21.739,233.982
22.608,226.391
23.478,216.836
24.347,203.409
25.217,191.609
26.086,172.927
26.956,151.273
27.825,122.445
28.695,96.718
29.564,73.873
30.434,54.045
31.304,41.973
32.173,38.191
33.043,40.482
33.912,50.755
34.782,60.882
35.651,74.909
36.521,92.236
37.390,107.473
38.260,135.173
39.129,169.000
39.999,208.564
40.868,244.273
41.738,253.291
42.608,254.473
43.477,254.473
44.347,251.436
45.216,253.936
46.086,251.000
46.955,251.809
47.825,252.155
48.694,252.682
49.564,253.236
50.433,253.700
51.303,253.927
52.173,253.955
53.042,253.955
53.912,253.782
54.781,253.527
55.651,252.936
56.520,252.100
57.390,251.700
58.259,251.318
59.129,251.182
59.998,251.173
60.868,251.564
61.738,251.864
62.607,252.264
63.477,252.864
64.346,252.955
65.216,253.291
66.085,253.355
66.955,253.173
67.824,253.200
68.694,253.045
69.563,252.845
70.433,252.409
71.302,252.173
72.172,251.736
73.042,251.364
73.911,251.009
74.781,249.891
75.650,250.373
76.520,251.027
77.389,251.445
78.259,250.964
79.128,248.873
79.998,245.327
80.867,242.527
81.737,237.173
82.607,230.527
83.476,222.364
84.346,211.291
85.215,197.755
86.085,183.527
86.954,161.382
87.824,137.800
88.693,108.309
89.563,84.336
90.432,59.409
91.302,46.445
92.171,39.764
93.041,36.955
93.911,43.418
94.780,53.691
95.650,67.264
96.519,80.300
97.389,99.100
98.258,120.982
99.128,151.418
99.997,192.500
100.867,231.664
101.736,253.982
102.606,254.000
103.476,254.000
104.345,254.000
105.215,254.000
106.084,254.000
106.954,254.000
107.823,254.000
108.693,254.000
109.562,254.000
110.432,254.000
111.301,254.000
112.171,254.000
113.041,254.000
113.910,254.000
114.780,254.000
115.649,254.000
116.519,253.636
117.388,253.364
118.258,253.109
119.127,252.564
119.997,252.309
120.866,252.209
121.736,252.218
122.605,252.273
123.475,253.127
124.345,253.318
125.214,253.545
126.084,253.709
126.953,253.727
127.823,253.545
128.692,253.309
129.562,253.136
130.431,252.209
131.301,252.327
132.170,252.309
133.040,252.136
133.910,251.973
134.779,251.591
135.649,251.500
136.518,251.509
137.388,252.218
138.257,252.527
139.127,251.391
139.996,248.600
140.866,245.100
141.735,240.273
142.605,233.636
143.474,228.182
144.344,216.264
145.214,204.618
146.083,189.745
146.953,173.009
147.822,151.818
148.692,125.691
149.561,96.409
150.431,73.991
151.300,53.800
152.170,42.273
153.039,35.527
153.909,40.309
154.779,48.355
155.648,57.691
156.518,73.209
157.387,88.336
158.257,108.500
159.126,135.282
159.996,171.618
160.865,214.355
161.735,250.391
162.604,255.000
163.474,251.391
164.344,254.536
165.213,254.000
166.083,254.000
166.952,254.000
167.822,254.000
168.691,254.000
169.561,254.000
170.430,254.000
171.300,254.000
172.169,254.000
173.039,254.000
173.908,254.000
174.778,254.000
175.648,254.000
176.517,254.000
177.387,254.000
178.256,254.000
179.126,253.891
179.995,253.682
180.865,253.682
181.734,253.473
182.604,253.482
183.473,253.700
184.343,253.709
185.213,253.927
186.082,253.918
186.952,253.836
187.821,253.845
188.691,253.982
189.560,253.891
190.430,253.327
191.299,252.327
192.169,251.509
193.038,249.391
193.908,248.327
194.777,247.300
195.647,247.182
196.517,247.855
197.386,248.891
198.256,250.182
199.125,251.164
199.995,250.227
200.864,248.909
201.734,244.236
202.603,237.364
203.473,230.564
204.342,221.900
205.212,208.691
206.082,197.182
206.951,180.882
207.821,163.055
208.690,136.764
209.560,109.773
210.429,83.736
211.299,60.855
212.168,45.691
213.038,39.455
213.907,37.736
214.777,45.582
215.647,53.018
216.516,66.000
217.386,83.164
218.255,97.555
219.125,123.527
219.994,156.482
220.864,197.300
221.733,237.927
222.603,254.682
223.472,252.982
224.342,253.509
225.211,254.036
226.081,253.936
226.951,253.400
227.820,254.000
228.690,254.000
229.559,254.000
230.429,254.000
231.298,254.000
232.168,254.000
233.037,254.000
233.907,254.000
234.776,254.073
235.646,254.145
236.516,254.145
237.385,254.000
238.255,254.000
239.124,253.782
239.994,253.709
240.863,253.636
241.733,253.709
