Distance_(µm),Gray_Value
0.0000,252.281
0.8330,217.703
1.6660,145.641
2.4990,77.625
3.3320,60.844
4.1651,100.906
4.9981,178.516
5.8311,247.141
6.6641,253.547
7.4971,251.828
8.3301,202.266
9.1631,123.359
9.9961,68.891
10.8292,61.938
11.6622,118.062
12.4952,195.094
13.3282,251.938
14.1612,253.844
14.9942,248.078
15.8272,187.219
16.6602,108.062
17.4933,60.141
18.3263,72.641
19.1593,136.922
19.9923,217.734
20.8253,253.062
21.6583,253.750
22.4913,242.547
23.3243,166.375
24.1573,89.750
24.9904,57.000
25.8234,87.031
26.6564,158.047
27.4894,236.172
28.3224,252.938
29.1554,253.750
29.9884,215.625
30.8214,140.531
31.6545,71.641
32.4875,56.641
33.3205,105.250
34.1535,186.469
34.9865,253.578
35.8195,252.953
36.6525,254.609
37.4855,196.547
38.3186,119.281
39.1516,60.062
39.9846,63.875
40.8176,123.609
41.6506,204.938
42.4836,253.266
43.3166,253.922
44.1496,246.172
