Distance_(µm),Gray_Value
0.000,252.805
1.752,252.959
3.504,253.142
5.255,253.361
7.007,253.704
8.759,253.704
10.511,253.698
12.262,253.657
14.014,253.568
15.766,253.420
17.518,253.290
19.270,253.213
21.021,252.657
22.773,252.858
24.525,253.160
26.277,252.621
28.028,251.408
29.780,249.320
31.532,247.000
33.284,245.533
35.036,241.107
36.787,234.367
38.539,219.988
40.291,198.769
42.043,174.302
43.794,146.420
45.546,114.154
47.298,88.799
49.050,65.302
50.802,51.544
52.553,43.302
54.305,48.846
56.057,59.254
57.809,69.657
59.560,83.911
61.312,97.254
63.064,112.586
64.816,130.515
66.568,155.095
68.319,181.509
70.071,212.278
71.823,240.385
73.575,253.592
75.326,253.846
77.078,254.000
78.830,254.000
80.582,254.000
82.334,254.000
84.085,254.000
85.837,254.000
87.589,254.000
89.341,254.000
91.092,254.000
92.844,254.000
94.596,254.000
96.348,254.000
98.100,254.000
99.851,254.000
101.603,254.000
103.355,254.000
105.107,254.000
106.858,254.030
108.610,254.030
110.362,254.030
112.114,254.030
113.866,254.000
115.617,253.970
117.369,253.941
119.121,254.000
120.873,254.000
122.624,254.000
124.376,254.000
126.128,254.000
127.880,254.000
129.632,254.000
131.383,254.000
133.135,253.852
134.887,254.213
136.639,254.237
138.390,254.142
140.142,254.118
141.894,253.533
143.646,253.207
145.398,252.834
147.149,251.686
148.901,251.970
150.653,249.527
152.405,245.621
154.156,243.923
155.908,242.195
157.660,235.574
159.412,227.763
161.164,210.621
162.915,189.959
164.667,160.817
166.419,132.036
168.171,103.663
169.922,76.385
171.674,55.976
173.426,46.219
175.178,43.959
176.930,49.799
178.681,61.935
180.433,76.083
182.185,88.089
183.937,101.396
185.688,120.746
187.440,137.604
189.192,165.325
190.944,192.893
192.696,226.941
194.447,248.349
196.199,254.231
197.951,253.935
199.703,253.396
201.454,253.959
203.206,254.000
204.958,254.000
206.710,254.000
208.462,254.000
210.213,254.000
211.965,254.000
213.717,254.000
215.469,254.000
217.220,254.000
218.972,254.000
220.724,254.000
222.476,254.000
224.228,254.000
225.979,254.000
227.731,254.000
229.483,254.000
231.235,254.012
232.986,253.964
234.738,253.917
236.490,253.846
238.242,253.781
239.994,253.698
241.745,253.645
243.497,253.615
245.249,253.669
247.001,253.663
248.753,253.645
250.504,253.698
252.256,253.805
254.008,253.822
255.760,253.751
257.511,253.692
259.263,253.651
261.015,253.716
262.767,253.669
264.518,253.254
266.270,253.077
268.022,252.692
269.774,252.657
271.526,252.627
273.277,250.787
275.029,247.663
276.781,244.574
278.533,239.811
280.285,232.201
282.036,220.396
283.788,198.769
285.540,176.538
287.292,146.870
289.043,120.237
290.795,89.757
292.547,69.172
294.299,54.071
296.051,43.893
297.802,44.982
299.554,52.621
301.306,64.337
303.058,78.456
304.809,90.154
306.561,104.207
308.313,125.290
310.065,146.811
311.816,177.166
313.568,210.254
315.320,241.574
317.072,252.444
318.824,254.988
320.575,253.077
322.327,253.651
324.079,254.627
325.831,253.544
327.583,254.053
329.334,254.000
331.086,254.000
332.838,254.000
334.590,254.000
336.341,254.000
338.093,254.000
339.845,254.000
341.597,254.000
343.349,253.953
345.100,253.964
346.852,253.964
348.604,253.929
350.356,253.834
352.107,253.722
353.859,253.615
355.611,253.562
357.363,253.396
359.115,253.562
360.866,253.769
362.618,253.964
364.370,254.018
366.122,254.053
367.873,254.059
369.625,254.053
371.377,253.988
373.129,253.988
374.881,253.970
376.632,253.953
378.384,253.935
380.136,253.911
381.888,253.899
383.639,253.882
385.391,253.817
387.143,253.189
388.895,252.763
390.647,253.148
392.398,253.740
394.150,252.923
395.902,250.207
397.654,247.473
399.405,241.408
401.157,237.627
402.909,228.621
404.661,213.846
406.413,194.604
408.164,169.095
409.916,135.941
411.668,109.065
413.420,81.195
415.171,61.817
416.923,44.817
418.675,42.219
420.427,46.574
422.179,53.911
423.930,68.107
425.682,82.574
427.434,95.834
429.186,112.710
430.937,134.905
432.689,161.101
434.441,195.331
436.193,230.751
437.945,251.574
439.696,254.444
441.448,254.000
443.200,254.000
444.952,254.000
446.703,254.000
448.455,254.000
450.207,254.000
451.959,254.000
453.711,254.000
455.462,254.000
457.214,254.000
458.966,254.000
460.718,254.000
462.469,254.000
464.221,254.000
465.973,254.000
467.725,254.000
469.477,253.935
471.228,253.941
472.980,253.882
474.732,253.746
476.484,253.627
478.235,253.574
479.987,253.663
481.739,253.722
483.491,253.982
485.243,253.911
486.994,253.746
488.746,253.633
490.498,253.580
492.250,253.615
494.001,253.746
495.753,253.799
497.505,254.030
499.257,253.976
501.009,253.970
502.760,253.959
504.512,253.959
506.264,253.882
508.016,253.645
509.767,253.515
511.519,252.704
513.271,252.799
515.023,252.396
516.775,251.207
518.526,248.278
520.278,242.278
522.030,233.751
523.782,226.964
525.533,212.432
527.285,195.976
529.037,170.320
530.789,142.485
532.541,115.136
534.292,88.834
536.044,65.657
537.796,51.272
539.548,43.367
541.299,43.047
543.051,50.095
544.803,63.947
546.555,76.515
548.307,88.976
550.058,107.698
551.810,124.982
553.562,153.249
555.314,183.550
557.065,222.627
558.817,248.314
560.569,254.680
562.321,253.550
564.073,252.959
565.824,254.172
567.576,254.000
569.328,254.000
571.080,254.000
572.831,254.000
574.583,254.000
576.335,254.000
578.087,254.000
579.839,254.000
581.590,254.000
583.342,254.000
585.094,254.000
586.846,254.000
588.597,254.000
590.349,254.000
592.101,254.000
593.853,254.000
595.605,254.000
597.356,254.000
599.108,254.000
600.860,254.000
602.612,254.000
604.363,254.000
606.115,254.000
607.867,254.000
609.619,254.000
611.371,254.000
