Distance_(µm),Gray_Value
0.000,227.830
0.882,225.591
1.765,220.659
2.647,213.852
3.529,204.955
4.412,194.568
5.294,184.432
6.176,173.523
7.059,155.750
7.941,137.068
8.823,112.659
9.706,88.761
10.588,62.886
11.470,47.239
12.353,36.648
13.235,29.477
14.117,31.659
15.000,39.023
15.882,48.307
16.764,60.955
17.647,72.045
18.529,86.682
19.411,110.034
20.294,136.648
21.176,173.273
22.058,209.841
22.941,240.989
23.823,251.807
24.705,254.943
25.588,252.761
26.470,248.614
27.352,240.409
28.235,232.943
29.117,232.330
29.999,230.375
30.882,229.511
31.764,225.886
32.646,219.784
33.529,212.750
34.411,203.307
35.293,190.614
36.175,180.307
37.058,165.898
37.940,152.443
38.822,130.182
39.705,105.239
40.587,81.034
41.469,59.920
42.352,43.091
43.234,33.511
44.116,31.011
44.999,31.739
45.881,39.432
46.763,51.966
47.646,61.795
48.528,73.080
49.410,93.841
50.293,114.182
51.175,147.023
52.057,181.875
52.940,221.102
53.822,246.159
54.704,254.364
55.587,254.386
56.469,252.080
57.351,246.977
58.234,237.568
59.116,233.750
59.998,230.864
60.881,229.909
61.763,228.636
62.645,224.830
63.528,217.750
64.410,211.057
65.292,200.295
66.175,188.875
67.057,176.455
67.939,163.500
68.822,145.750
69.704,123.705
70.586,97.807
71.469,76.386
72.351,53.659
73.233,42.170
74.116,31.580
74.998,30.068
75.880,34.443
76.763,42.136
77.645,54.148
78.527,64.693
79.410,78.818
80.292,97.864
81.174,124.398
82.057,155.318
82.939,193.898
83.821,231.455
84.704,251.602
85.586,254.432
86.468,254.023
87.351,252.489
88.233,245.727
89.115,236.523
89.998,232.034
90.880,232.420
91.762,231.750
92.645,228.920
93.527,222.932
94.409,217.193
95.292,207.466
96.174,195.977
97.056,185.341
97.939,173.875
98.821,156.773
99.703,140.568
100.586,117.170
101.468,94.955
102.350,68.523
103.233,50.307
104.115,38.307
104.997,30.943
105.879,31.364
106.762,36.148
107.644,44.489
108.526,57.455
109.409,67.614
110.291,80.989
111.173,103.670
112.056,129.830
112.938,166.330
113.820,204.080
114.703,238.261
115.585,252.955
116.467,254.795
117.350,252.659
118.232,253.239
119.114,245.830
119.997,235.170
120.879,234.580
121.761,232.670
122.644,232.239
123.526,228.625
124.408,222.170
125.291,215.500
126.173,206.795
127.055,193.886
127.938,182.614
128.820,168.148
129.702,155.807
130.585,135.727
131.467,112.523
132.349,88.705
133.232,65.898
134.114,47.034
134.996,36.250
135.879,31.375
136.761,30.932
137.643,37.227
138.526,48.636
139.408,57.557
140.290,67.739
141.173,87.205
142.055,106.455
142.937,139.136
143.820,172.102
144.702,214.636
145.584,243.716
146.467,253.943
147.349,254.364
148.231,253.068
149.114,252.023
149.996,241.420
150.878,237.318
151.761,233.750
