Distance_(µm),Gray_Value
0.0000,179.1286
0.8808,167.5857
1.7617,153.0143
2.6425,148.0286
3.5233,160.1286
4.4042,176.4143
5.2850,186.6857
6.1658,186.5857
7.0466,184.6286
7.9275,177.8143
8.8083,163.6857
9.6891,150.2857
10.5700,152.8428
11.4508,165.8571
12.3316,179.9286
13.2125,187.5429
14.0933,186.6572
14.9741,182.5000
15.8549,176.1429
16.7358,158.4286
17.6166,147.4571
18.4974,154.1857
19.3783,169.2857
20.2591,183.3714
21.1399,188.3143
22.0208,185.1714
22.9016,181.5143
23.7824,169.1000
24.6632,153.5571
25.5441,148.3143
26.4249,158.6143
27.3057,173.7571
28.1866,185.8857
29.0674,186.9714
29.9482,184.2571
30.8291,178.9571
31.7099,165.1857
32.5907,150.0000
33.4716,147.7857
34.3524,162.6714
35.2332,178.6286
36.1140,184.9571
36.9949,185.7000
37.8757,184.8143
38.7565,174.6286
39.6374,159.8000
40.5182,147.5143
41.3990,149.4000
42.2799,166.1572
43.1607,181.9857
44.0415,184.8857
44.9223,187.2571
45.8032,184.0571
46.6840,171.2571
47.5648,155.0857
48.4457,147.0857
49.3265,154.9857
50.2073,173.2857
51.0882,183.2714
51.9690,186.9571
52.8498,185.9571
53.7307,180.1714
54.6115,165.9286
55.4923,152.0286
56.3731,146.7429
57.2540,160.5143
58.1348,178.7143
59.0156,187.1714
59.8965,188.0714
60.7773,188.1143
61.6581,180.1143
62.5390,164.5571
63.4198,150.3857
64.3006,152.2857
65.1814,167.3428
66.0623,182.3143
66.9431,188.6857
67.8239,188.9143
68.7048,185.3143
69.5856,174.1714
