Distance_(µm),Gray_Value
0.000,254.000
0.854,254.000
1.708,254.000
2.562,254.000
3.416,254.000
4.270,254.000
5.124,254.000
5.978,254.000
6.832,254.000
7.686,254.000
8.540,254.000
9.394,254.000
10.248,254.000
11.102,254.000
11.956,254.000
12.810,254.000
13.664,254.000
14.518,254.000
15.372,254.000
16.226,254.000
17.081,254.000
17.935,254.000
18.789,254.000
19.643,254.036
20.497,253.622
21.351,254.129
22.205,253.618
23.059,247.222
23.913,227.262
24.767,190.618
25.621,156.778
26.475,115.733
27.329,78.444
28.183,43.764
29.037,25.618
29.891,17.107
30.745,22.449
31.599,36.484
32.453,44.373
33.307,47.507
34.161,53.093
35.015,76.418
35.869,119.529
36.723,188.000
37.577,243.538
38.431,248.369
39.285,250.667
40.139,253.907
40.993,253.951
41.847,253.996
42.701,254.009
43.555,254.036
44.409,254.013
45.263,254.018
46.117,254.009
46.971,254.000
47.825,254.000
48.679,254.000
49.534,254.000
50.388,254.000
51.242,254.000
52.096,254.000
52.950,254.000
53.804,254.000
54.658,254.000
55.512,254.000
56.366,254.000
57.220,254.000
58.074,254.000
58.928,254.000
59.782,254.000
60.636,254.000
61.490,254.000
62.344,254.000
63.198,254.000
64.052,254.000
64.906,254.000
65.760,254.000
66.614,254.000
67.468,254.000
68.322,254.000
69.176,254.000
70.030,254.000
70.884,254.000
71.738,254.000
72.592,254.000
73.446,254.000
74.300,254.000
75.154,254.000
76.008,254.000
76.862,254.000
77.716,254.000
78.570,254.000
79.424,254.000
80.278,254.000
81.132,254.000
81.987,254.000
82.841,254.000
83.695,254.000
84.549,254.000
85.403,254.000
86.257,254.000
87.111,254.000
87.965,254.000
88.819,254.000
89.673,254.000
90.527,254.000
91.381,254.000
92.235,254.000
93.089,254.000
93.943,254.000
94.797,254.000
95.651,254.000
96.505,254.000
97.359,254.000
98.213,254.000
99.067,254.000
99.921,254.000
100.775,254.000
101.629,254.000
102.483,254.000
103.337,254.000
104.191,254.000
105.045,254.000
105.899,254.000
106.753,254.000
107.607,254.000
108.461,254.000
109.315,254.000
110.169,254.000
111.023,254.000
111.877,254.000
112.731,254.000
113.585,254.000
114.440,254.000
115.294,254.000
116.148,254.000
117.002,254.000
117.856,254.000
118.710,254.000
119.564,254.000
120.418,254.000
121.272,254.000
122.126,254.000
122.980,254.000
123.834,254.000
124.688,254.000
125.542,254.000
126.396,254.000
127.250,254.000
128.104,254.000
128.958,254.000
129.812,254.000
130.666,254.000
131.520,254.000
132.374,254.000
133.228,254.000
134.082,254.000
134.936,254.000
135.790,254.000
136.644,254.000
137.498,254.000
138.352,254.000
139.206,254.000
140.060,254.000
140.914,254.000
141.768,254.000
142.622,254.000
143.476,254.000
144.330,254.000
145.184,254.000
146.038,254.000
146.893,254.000
147.747,254.000
148.601,254.000
149.455,254.000
150.309,254.000
151.163,254.000
152.017,254.000
152.871,254.000
153.725,254.000
154.579,254.000
155.433,254.000
156.287,254.000
157.141,254.000
157.995,254.000
158.849,254.000
159.703,254.000
160.557,254.000
161.411,254.000
162.265,254.000
163.119,254.000
163.973,254.000
164.827,254.000
165.681,254.000
166.535,254.000
167.389,254.000
168.243,254.000
169.097,254.000
169.951,253.929
170.805,253.960
171.659,253.667
172.513,252.996
173.367,252.120
174.221,251.151
175.075,250.133
175.929,249.418
176.783,249.004
177.637,249.182
178.491,250.062
179.346,251.631
180.200,253.196
181.054,253.973
181.908,254.053
182.762,253.929
183.616,254.000
184.470,254.000
185.324,254.000
186.178,254.000
187.032,254.000
187.886,254.000
188.740,254.000
189.594,254.000
190.448,254.000
191.302,254.000
192.156,254.000
193.010,254.000
193.864,254.000
194.718,254.000
195.572,254.000
196.426,254.000
197.280,254.000
198.134,254.000
198.988,254.000
199.842,254.000
200.696,254.000
201.550,254.000
202.404,254.000
203.258,254.000
204.112,254.000
204.966,254.000
205.820,254.000
206.674,254.000
207.528,254.000
208.382,254.000
209.236,254.000
210.090,254.000
210.944,254.000
211.799,254.000
212.653,254.000
213.507,254.000
214.361,254.000
215.215,254.000
216.069,254.000
216.923,254.000
217.777,254.000
218.631,254.000
219.485,254.000
220.339,254.000
221.193,254.000
222.047,254.000
222.901,254.000
223.755,254.000
224.609,254.000
225.463,254.000
226.317,254.000
227.171,254.000
228.025,254.000
228.879,254.000
229.733,254.000
230.587,254.000
231.441,254.000
232.295,254.000
233.149,254.000
234.003,254.000
234.857,254.000
235.711,254.000
236.565,254.000
237.419,254.000
238.273,254.000
239.127,254.000
239.981,254.000
240.835,254.000
241.689,254.000
242.543,254.000
243.397,254.000
244.252,254.000
245.106,254.000
245.960,254.000
246.814,254.000
247.668,254.000
248.522,254.000
249.376,254.000
250.230,254.000
251.084,254.000
251.938,254.000
252.792,254.000
253.646,254.000
254.500,254.000
255.354,254.000
256.208,254.000
257.062,254.000
257.916,254.000
258.770,254.391
259.624,253.418
260.478,253.418
261.332,238.964
262.186,207.387
263.040,173.796
263.894,131.378
264.748,88.760
265.602,48.782
266.456,27.489
267.310,14.711
268.164,22.156
269.018,34.071
269.872,40.604
270.726,47.991
271.580,56.302
272.434,75.520
273.288,113.222
274.142,175.689
274.996,238.382
275.850,251.529
276.705,254.502
277.559,251.773
278.413,254.418
279.267,254.000
280.121,254.000
280.975,254.000
